id,asin,price,currency,time,crawlTime,condition,sellerName,sellerId,sellerbewertung,seller_sterne,lieferdatum,lieferpreis,lieferung_durch,ranking,buyBoxWinner,numberOfSellers,trigByReactive,Fulfillment_type,date_diff,price_change_count,price_pct_change
345462.0,B091PD782Y,289.13,€,2023-03-22 16:00:00,2023-03-22 16:56:23.622937,Neu,MusicScout,AHTOZAEWYWWP3,32094.8,5.0,3. - 13. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,
354658.0,B091PD782Y,271.31,€,2023-03-22 18:00:00,2023-03-22 18:01:22.106066,Neu,MusicScout,AHTOZAEWYWWP3,32094.8,5.0,3. - 13. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,-0.06163317538823365
363913.0,B091PD782Y,271.26,€,2023-03-22 19:00:00,2023-03-22 19:06:37.448489,Neu,MusicScout,AHTOZAEWYWWP3,32095.75,5.0,3. - 13. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,-0.00018429103239836486
373173.0,B091PD782Y,271.26,€,2023-03-22 20:00:00,2023-03-22 20:12:30.164683,Neu,MusicScout,AHTOZAEWYWWP3,32095.75,5.0,3. - 13. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,0.0
400912.0,B091PD782Y,289.13,€,2023-03-22 23:00:00,2023-03-22 23:29:17.623880,Neu,MusicScout,AHTOZAEWYWWP3,32095.75,5.0,3. - 13. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,0.06587775565877751
409822.0,B091PD782Y,271.26,€,2023-03-23 00:00:00,2023-03-23 00:38:17.028733,Neu,MusicScout,AHTOZAEWYWWP3,32095.75,5.0,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,-0.06180610797910979
436175.0,B091PD782Y,271.26,€,2023-03-23 04:00:00,2023-03-23 04:08:16.664941,Neu,MusicScout,AHTOZAEWYWWP3,32095.75,5.0,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,0.0
445493.0,B091PD782Y,271.26,€,2023-03-23 05:00:00,2023-03-23 05:14:05.586451,Neu,MusicScout,AHTOZAEWYWWP3,32095.75,5.0,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,0.0
454855.0,B091PD782Y,271.26,€,2023-03-23 06:00:00,2023-03-23 06:19:16.219680,Neu,MusicScout,AHTOZAEWYWWP3,32095.75,5.0,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,0.0
464258.0,B091PD782Y,289.13,€,2023-03-23 07:00:00,2023-03-23 07:24:33.281887,Neu,MusicScout,AHTOZAEWYWWP3,32095.75,5.0,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,0.06587775565877751
473513.0,B091PD782Y,271.26,€,2023-03-23 08:00:00,2023-03-23 08:29:49.702621,Neu,MusicScout,AHTOZAEWYWWP3,32095.75,5.0,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,-0.06180610797910979
482754.0,B091PD782Y,271.26,€,2023-03-23 09:00:00,2023-03-23 09:34:49.929974,Neu,MusicScout,AHTOZAEWYWWP3,32095.75,5.0,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,0.0
491948.0,B091PD782Y,271.26,€,2023-03-23 10:00:00,2023-03-23 10:40:21.866967,Neu,MusicScout,AHTOZAEWYWWP3,32095.75,5.0,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,0.0
510583.0,B091PD782Y,271.26,€,2023-03-23 12:00:00,2023-03-23 12:53:37.815884,Neu,MusicScout,AHTOZAEWYWWP3,32095.75,5.0,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,0.0
519820.0,B091PD782Y,289.13,€,2023-03-23 13:00:00,2023-03-23 13:59:07.345423,Neu,MusicScout,AHTOZAEWYWWP3,32096.7,4.5,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,0.06587775565877751
529017.0,B091PD782Y,271.26,€,2023-03-23 15:00:00,2023-03-23 15:04:13.448701,Neu,MusicScout,AHTOZAEWYWWP3,32096.7,4.5,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,-0.06180610797910979
538309.0,B091PD782Y,271.26,€,2023-03-23 16:00:00,2023-03-23 16:09:18.816655,Neu,MusicScout,AHTOZAEWYWWP3,32096.7,4.5,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,0.0
547530.0,B091PD782Y,271.26,€,2023-03-23 17:00:00,2023-03-23 17:14:17.106716,Neu,MusicScout,AHTOZAEWYWWP3,32096.7,4.5,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,0.0
556773.0,B091PD782Y,271.26,€,2023-03-23 18:00:00,2023-03-23 18:19:18.477604,Neu,MusicScout,AHTOZAEWYWWP3,32096.7,4.5,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,0.0
566021.0,B091PD782Y,271.27,€,2023-03-23 19:00:00,2023-03-23 19:24:17.287806,Neu,MusicScout,AHTOZAEWYWWP3,32096.7,4.5,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,3.686500036859108e-05
593922.0,B091PD782Y,271.26,€,2023-03-23 22:00:00,2023-03-23 22:41:00.734449,Neu,MusicScout,AHTOZAEWYWWP3,32096.7,4.5,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,-3.686364139043885e-05
603220.0,B091PD782Y,271.27,€,2023-03-23 23:00:00,2023-03-23 23:46:50.024080,Neu,MusicScout,AHTOZAEWYWWP3,32096.7,4.5,4. - 14. April,6.99,MusicScout,0.0,True,6.0,f,FBM,17.0,503,3.686500036859108e-05
